 Time, $\theta_1$, $\theta_2$, Energy violation
  1.6417968750000000E+01, -7.3397082770352695E-01,  6.2274346192045726E-01,  6.6613381477509392E-16
  1.6421875000000000E+01, -7.4254213524992796E-01,  6.3407055161708892E-01,  6.6613381477509392E-16
  1.6425781250000000E+01, -7.5093164972613669E-01,  6.4520334349690600E-01,  6.6613381477509392E-16
  1.6429687500000000E+01, -7.5914266204629122E-01,  6.5614728130582245E-01,  8.8817841970012523E-16
  1.6433593750000000E+01, -7.6717828698080248E-01,  6.6690757136316603E-01,  6.6613381477509392E-16
  1.6437500000000000E+01, -7.7504147280780267E-01,  6.7748919512019845E-01,  6.6613381477509392E-16
  1.6441406250000000E+01, -7.8273501046698823E-01,  6.8789692098419597E-01,  6.6613381477509392E-16
  1.6445312500000000E+01, -7.9026154223208622E-01,  6.9813531543307850E-01,  6.6613381477509392E-16
  1.6449218750000000E+01, -7.9762356992085870E-01,  7.0820875344913303E-01,  6.6613381477509392E-16
  1.6453125000000000E+01, -8.0482346266324345E-01,  7.1812142830257630E-01,  4.4408920985006262E-16
  1.6457031250000000E+01, -8.1186346424914613E-01,  7.2787736071686604E-01,  6.6613381477509392E-16
  1.6460937500000000E+01, -8.1874570007774072E-01,  7.3748040744806620E-01,  6.6613381477509392E-16
  1.6464843750000000E+01, -8.2547218373004894E-01,  7.4693426931039197E-01,  4.4408920985006262E-16
  1.6468750000000000E+01, -8.3204482318616468E-01,  7.5624249867946336E-01,  6.6613381477509392E-16
  1.6472656250000000E+01, -8.3846542670786639E-01,  7.6540850650390579E-01,  6.6613381477509392E-16
  1.6476562500000000E+01, -8.4473570840657197E-01,  7.7443556885483988E-01,  4.4408920985006262E-16
  1.6480468750000000E+01, -8.5085729351570749E-01,  7.8332683304157569E-01,  6.6613381477509392E-16
  1.6484375000000000E+01, -8.5683172338560876E-01,  7.9208532332052173E-01,  6.6613381477509392E-16
  1.6488281250000000E+01, -8.6266046021809351E-01,  8.0071394622297865E-01,  6.6613381477509392E-16
  1.6492187500000000E+01, -8.6834489155685179E-01,  8.0921549552613858E-01,  6.6613381477509392E-16
  1.6496093750000000E+01, -8.7388633454882114E-01,  8.1759265689028082E-01,  6.6613381477509392E-16
  1.6500000000000000E+01, -8.7928603999074995E-01,  8.2584801218385595E-01,  6.6613381477509392E-16
  1.6503906250000000E+01, -8.8454519617422611E-01,  8.3398404351689392E-01,  6.6613381477509392E-16
  1.6507812500000000E+01, -8.8966493254155210E-01,  8.4200313700196994E-01,  8.8817841970012523E-16
  1.6511718750000000E+01, -8.9464632316399451E-01,  8.4990758626081142E-01,  6.6613381477509392E-16
  1.6515625000000000E+01, -8.9949039005312803E-01,  8.5769959569354026E-01,  6.6613381477509392E-16
  1.6519531250000000E+01, -9.0419810631522624E-01,  8.6538128352651378E-01,  6.6613381477509392E-16
  1.6523437500000000E+01, -9.0877039915793156E-01,  8.7295468465375370E-01,  4.4408920985006262E-16
  1.6527343750000000E+01, -9.1320815275775846E-01,  8.8042175328603878E-01,  8.8817841970012523E-16
  1.6531250000000000E+01, -9.1751221099634928E-01,  8.8778436542087413E-01,  6.6613381477509392E-16
  1.6535156250000000E+01, -9.2168338007281081E-01,  8.9504432114574528E-01,  6.6613381477509392E-16
  1.6539062500000000E+01, -9.2572243099890406E-01,  9.0220334678630598E-01,  6.6613381477509392E-16
  1.6542968750000000E+01, -9.2963010198334672E-01,  9.0926309691044027E-01,  6.6613381477509392E-16
  1.6546875000000000E+01, -9.3340710071100919E-01,  9.1622515619847378E-01,  6.6613381477509392E-16
  1.6550781250000000E+01, -9.3705410652233978E-01,  9.2309104118918650E-01,  6.6613381477509392E-16
  1.6554687500000000E+01, -9.4057177249794444E-01,  9.2986220191069480E-01,  6.6613381477509392E-16
  1.6558593750000000E+01, -9.4396072745286441E-01,  9.3654002340472420E-01,  4.4408920985006262E-16
  1.6562500000000000E+01, -9.4722157784474359E-01,  9.4312582715227811E-01,  6.6613381477509392E-16
  1.6566406250000000E+01, -9.5035490959975244E-01,  9.4962087240822912E-01,  6.6613381477509392E-16
  1.6570312500000000E+01, -9.5336128985983470E-01,  9.5602635745190268E-01,  2.2204460492503131E-16
  1.6574218750000000E+01, -9.5624126865456716E-01,  9.6234342076029977E-01,  6.6613381477509392E-16
  1.6578125000000000E+01, -9.5899538050066835E-01,  9.6857314211020351E-01,  6.6613381477509392E-16
  1.6582031250000000E+01, -9.6162414593195922E-01,  9.7471654361503590E-01,  6.6613381477509392E-16
  1.6585937500000000E+01, -9.6412807296236236E-01,  9.8077459070197726E-01,  4.4408920985006262E-16
  1.6589843750000000E+01, -9.6650765848433062E-01,  9.8674819303452277E-01,  6.6613381477509392E-16
  1.6593750000000000E+01, -9.6876338960491515E-01,  9.9263820538533476E-01,  6.6613381477509392E-16
  1.6597656250000000E+01, -9.7089574492151742E-01,  9.9844542846394857E-01,  6.6613381477509392E-16
  1.6601562500000000E+01, -9.7290519573921819E-01,  1.0041706097036076E+00,  6.6613381477509392E-16
  1.6605468750000000E+01, -9.7479220723143822E-01,  1.0098144440112331E+00,  6.6613381477509392E-16
  1.6609375000000000E+01, -9.7655723954555895E-01,  1.0153775744842803E+00,  6.6613381477509392E-16
  1.6613281250000000E+01, -9.7820074885501518E-01,  1.0208605930979944E+00,  6.6613381477509392E-16
  1.6617187500000000E+01, -9.7972318835926742E-01,  1.0262640413663471E+00,  6.6613381477509392E-16
  1.6621093750000000E+01, -9.8112500923296353E-01,  1.0315884109797220E+00,  6.6613381477509392E-16
  1.6625000000000000E+01, -9.8240666152551237E-01,  1.0368341444222093E+00,  6.6613381477509392E-16
  1.6628906250000000E+01, -9.8356859501221072E-01,  1.0420016355711788E+00,  6.6613381477509392E-16
  1.6632812500000000E+01, -9.8461125999799193E-01,  1.0470912302816124E+00,  6.6613381477509392E-16
  1.6636718750000000E+01, -9.8553510807479605E-01,  1.0521032269575068E+00,  4.4408920985006262E-16
  1.6640625000000000E+01, -9.8634059283350051E-01,  1.0570378771124862E+00,  6.6613381477509392E-16
  1.6644531250000000E+01, -9.8702817053129177E-01,  1.0618953859216151E+00,  8.8817841970012523E-16
  1.6648437500000000E+01, -9.8759830071530874E-01,  1.0666759127662475E+00,  6.6613381477509392E-16
  1.6652343750000000E+01, -9.8805144680333612E-01,  1.0713795717736112E+00,  8.8817841970012523E-16
  1.6656250000000000E+01, -9.8838807662228578E-01,  1.0760064323526946E+00,  8.8817841970012523E-16
  1.6660156250000000E+01, -9.8860866290515748E-01,  1.0805565197278739E+00,  8.8817841970012523E-16
  1.6664062500000000E+01, -9.8871368374713564E-01,  1.0850298154716078E+00,  8.8817841970012523E-16
  1.6667968750000000E+01, -9.8870362302143977E-01,  1.0894262580374074E+00,  6.6613381477509392E-16
  1.6671875000000000E+01, -9.8857897075551104E-01,  1.0937457432941922E+00,  6.6613381477509392E-16
  1.6675781250000000E+01, -9.8834022346808892E-01,  1.0979881250630357E+00,  8.8817841970012523E-16
  1.6679687500000000E+01, -9.8798788446769537E-01,  1.1021532156572205E+00,  6.6613381477509392E-16
  1.6683593750000000E+01, -9.8752246411302058E-01,  1.1062407864264254E+00,  8.8817841970012523E-16
  1.6687500000000000E+01, -9.8694448003567115E-01,  1.1102505683057911E+00,  6.6613381477509392E-16
  1.6691406250000000E+01, -9.8625445732571893E-01,  1.1141822523705296E+00,  6.6613381477509392E-16
  1.6695312500000000E+01, -9.8545292868046108E-01,  1.1180354903966705E+00,  6.6613381477509392E-16
  1.6699218750000000E+01, -9.8454043451677742E-01,  1.1218098954284641E+00,  6.6613381477509392E-16
  1.6703125000000000E+01, -9.8351752304744922E-01,  1.1255050423528985E+00,  6.6613381477509392E-16
  1.6707031250000000E+01, -9.8238475032177963E-01,  1.1291204684817220E+00,  6.6613381477509392E-16
  1.6710937500000000E+01, -9.8114268023083584E-01,  1.1326556741413012E+00,  8.8817841970012523E-16
  1.6714843750000000E+01, -9.7979188447761201E-01,  1.1361101232705897E+00,  1.1102230246251565E-15
  1.6718750000000000E+01, -9.7833294251239356E-01,  1.1394832440274194E+00,  6.6613381477509392E-16
  1.6722656250000000E+01, -9.7676644143358560E-01,  1.1427744294032798E+00,  6.6613381477509392E-16
  1.6726562500000000E+01, -9.7509297585425059E-01,  1.1459830378466880E+00,  6.6613381477509392E-16
